dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
2022-04-22,22,4,2022,1001,27,Poland,PL,POL,37958138,Europe
2022-04-22,22,4,2022,1054,1,Slovenia,SI,SVN,2095861,Europe
2022-04-22,22,4,2022,1163,3,Ireland,IE,IRL,4964440,Europe
2022-04-22,22,4,2022,119693,111,Germany,DE,DEU,83166711,Europe
2022-04-22,22,4,2022,1634,10,Denmark,DK,DNK,5822763,Europe
2022-04-22,22,4,2022,1765,12,Slovakia,SK,SVK,5457873,Europe
2022-04-22,22,4,2022,2047,24,Hungary,HU,HUN,9769526,Europe
2022-04-22,22,4,2022,2114,11,Czechia,CZ,CZE,10693939,Europe
2022-04-22,22,4,2022,249,0,Malta,MT,MLT,514564,Europe
2022-04-22,22,4,2022,2589,9,Netherlands,NL,NLD,17407585,Europe
2022-04-22,22,4,2022,26,0,Liechtenstein,LI,LIE,38747,Europe
2022-04-22,22,4,2022,287,11,Bulgaria,BG,BGR,6951482,Europe
2022-04-22,22,4,2022,3467,25,Finland,FI,FIN,5525292,Europe
2022-04-22,22,4,2022,362,3,Estonia,EE,EST,1328976,Europe
2022-04-22,22,4,2022,373,2,Iceland,IS,ISL,364134,Europe
2022-04-22,22,4,2022,412,9,Sweden,SE,SWE,10327589,Europe
2022-04-22,22,4,2022,49143,63,Spain,ES,ESP,47332614,Europe
2022-04-22,22,4,2022,549,0,Norway,NO,NOR,5367580,Europe
2022-04-22,22,4,2022,6068,21,Belgium,BE,BEL,11522440,Europe
2022-04-22,22,4,2022,6436,21,Austria,AT,AUT,8901064,Europe
2022-04-22,22,4,2022,652,1,Luxembourg,LU,LUX,626108,Europe
2022-04-22,22,4,2022,7014,31,Greece,EL,GRC,10718565,Europe
2022-04-22,22,4,2022,73744,202,Italy,IT,ITA,59641488,Europe
2022-04-22,22,4,2022,765,4,Latvia,LV,LVA,1907675,Europe
2022-04-22,22,4,2022,839,7,Croatia,HR,HRV,4058165,Europe
2022-04-22,22,4,2022,878,5,Lithuania,LT,LTU,2794090,Europe
2022-04-22,22,4,2022,88389,146,France,FR,FRA,67320216,Europe
2022-04-22,22,4,2022,9536,16,Portugal,PT,PRT,10295909,Europe
2022-04-22,22,4,2022,974,9,Romania,RO,ROU,19328838,Europe
2022-04-23,23,4,2022,,56,Spain,ES,ESP,47332614,Europe
2022-04-23,23,4,2022,0,0,Hungary,HU,HUN,9769526,Europe
2022-04-23,23,4,2022,0,0,Iceland,IS,ISL,364134,Europe
2022-04-23,23,4,2022,1140,22,Poland,PL,POL,37958138,Europe
2022-04-23,23,4,2022,12,0,Liechtenstein,LI,LIE,38747,Europe
2022-04-23,23,4,2022,1285,10,Slovakia,SK,SVK,5457873,Europe
2022-04-23,23,4,2022,1350,16,Denmark,DK,DNK,5822763,Europe
2022-04-23,23,4,2022,1513,0,Ireland,IE,IRL,4964440,Europe
2022-04-23,23,4,2022,157,0,Norway,NO,NOR,5367580,Europe
2022-04-23,23,4,2022,1594,10,Finland,FI,FIN,5525292,Europe
2022-04-23,23,4,2022,184,0,Estonia,EE,EST,1328976,Europe
2022-04-23,23,4,2022,2112,9,Netherlands,NL,NLD,17407585,Europe
2022-04-23,23,4,2022,213,14,Sweden,SE,SWE,10327589,Europe
2022-04-23,23,4,2022,231,3,Malta,MT,MLT,514564,Europe
2022-04-23,23,4,2022,2904,8,Belgium,BE,BEL,11522440,Europe
2022-04-23,23,4,2022,354,4,Bulgaria,BG,BGR,6951482,Europe
2022-04-23,23,4,2022,4175,28,Greece,EL,GRC,10718565,Europe
2022-04-23,23,4,2022,508,7,Slovenia,SI,SVN,2095861,Europe
2022-04-23,23,4,2022,509,13,Lithuania,LT,LTU,2794090,Europe
2022-04-23,23,4,2022,5434,16,Austria,AT,AUT,8901064,Europe
2022-04-23,23,4,2022,54455,50,Germany,DE,DEU,83166711,Europe
2022-04-23,23,4,2022,566,9,Romania,RO,ROU,19328838,Europe
2022-04-23,23,4,2022,632,0,Luxembourg,LU,LUX,626108,Europe
2022-04-23,23,4,2022,6911,20,Portugal,PT,PRT,10295909,Europe
2022-04-23,23,4,2022,696,4,Latvia,LV,LVA,1907675,Europe
2022-04-23,23,4,2022,71028,143,Italy,IT,ITA,59641488,Europe
2022-04-23,23,4,2022,80571,75,France,FR,FRA,67320216,Europe
2022-04-23,23,4,2022,894,6,Croatia,HR,HRV,4058165,Europe
2022-04-23,23,4,2022,914,9,Czechia,CZ,CZE,10693939,Europe
2022-04-24,24,4,2022,,52,Spain,ES,ESP,47332614,Europe
2022-04-24,24,4,2022,0,0,Greece,EL,GRC,10718565,Europe
2022-04-24,24,4,2022,0,0,Hungary,HU,HUN,9769526,Europe
2022-04-24,24,4,2022,0,0,Iceland,IS,ISL,364134,Europe
2022-04-24,24,4,2022,1005,17,Denmark,DK,DNK,5822763,Europe
2022-04-24,24,4,2022,134,0,Norway,NO,NOR,5367580,Europe
2022-04-24,24,4,2022,152,0,Estonia,EE,EST,1328976,Europe
2022-04-24,24,4,2022,1577,5,Netherlands,NL,NLD,17407585,Europe
2022-04-24,24,4,2022,1607,24,Belgium,BE,BEL,11522440,Europe
2022-04-24,24,4,2022,1692,12,Finland,FI,FIN,5525292,Europe
2022-04-24,24,4,2022,196,1,Malta,MT,MLT,514564,Europe
2022-04-24,24,4,2022,2,0,Liechtenstein,LI,LIE,38747,Europe
2022-04-24,24,4,2022,237,7,Bulgaria,BG,BGR,6951482,Europe
2022-04-24,24,4,2022,27,3,Luxembourg,LU,LUX,626108,Europe
2022-04-24,24,4,2022,27019,24,Germany,DE,DEU,83166711,Europe
2022-04-24,24,4,2022,297,9,Lithuania,LT,LTU,2794090,Europe
2022-04-24,24,4,2022,317,0,Poland,PL,POL,37958138,Europe
2022-04-24,24,4,2022,322,0,Latvia,LV,LVA,1907675,Europe
2022-04-24,24,4,2022,347,2,Slovenia,SI,SVN,2095861,Europe
2022-04-24,24,4,2022,3717,16,Portugal,PT,PRT,10295909,Europe
2022-04-24,24,4,2022,4289,12,Austria,AT,AUT,8901064,Europe
2022-04-24,24,4,2022,494,6,Romania,RO,ROU,19328838,Europe
